folder,our_frame,make,zi_test_bike,type,match_score,wheel,power_W,zi_mass_kg_s0,game_mass_kg_s0,mass_diff_kg_s0,zi_cda_m2_s0,game_cda_m2_s0,cda_diff_m2_s0,zi_mass_kg_s1,game_mass_kg_s1,mass_diff_kg_s1,zi_cda_m2_s1,game_cda_m2_s1,cda_diff_m2_s1,zi_mass_kg_s2,game_mass_kg_s2,mass_diff_kg_s2,zi_cda_m2_s2,game_cda_m2_s2,cda_diff_m2_s2,zi_mass_kg_s3,game_mass_kg_s3,mass_diff_kg_s3,zi_cda_m2_s3,game_cda_m2_s3,cda_diff_m2_s3,zi_mass_kg_s4,game_mass_kg_s4,mass_diff_kg_s4,zi_cda_m2_s4,game_cda_m2_s4,cda_diff_m2_s4,zi_mass_kg_s5,game_mass_kg_s5,mass_diff_kg_s5,zi_cda_m2_s5,game_cda_m2_s5,cda_diff_m2_s5
AlliedAble2022,Allied AlliedAble2022,Allied,Allied Able,GRAVEL,0.67,Zwift Gravel,300.0,82.353,82.455,-0.102,0.30955,0.31041,0.00086,82.331,82.455,-0.124,0.30732,0.30826,0.00094,81.723,81.847,-0.124,0.30722,0.30826,0.00104,81.501,81.625,-0.124,0.30406,0.30521,0.00115,81.493,81.625,-0.131,0.30312,0.3043,0.00118,81.509,81.625,-0.116,0.30328,0.3043,0.00102
BMCRoadMachine2021,BMC BMCRoadMachine2021,BMC,BMC Roadmachine,STANDARD,0.2,Zwift 32mm Carbon,300.0,81.94,81.93,0.01,0.31403,0.31379,-0.00024,81.927,81.93,-0.003,0.31098,0.31084,-0.00014,81.354,81.356,-0.003,0.31082,0.31084,2e-05,81.114,81.117,-0.003,0.30795,0.30807,0.00012,81.099,81.117,-0.017,0.30707,0.30721,0.00015,81.114,81.117,-0.003,0.30711,0.30721,0.0001
BmcTeamMachine2022,BMC BmcTeamMachine2022,BMC,BMC TeamMachine,STANDARD,0.67,Zwift 32mm Carbon,300.0,81.583,81.57,0.013,0.30516,0.30509,-7e-05,81.585,81.57,0.015,0.30216,0.30219,3e-05,81.173,81.159,0.015,0.30207,0.30219,0.00013,80.929,80.914,0.015,0.29924,0.29946,0.00022,80.935,80.914,0.021,0.29827,0.29852,0.00025,80.752,80.73,0.021,0.29829,0.29852,0.00023
BmcSLR01,BMC SLR01,BMC,BMC SLR01,STANDARD,1.3,Zwift 32mm Carbon,300.0,81.718,81.71,0.008,0.31395,0.31379,-0.00016,81.72,81.71,0.01,0.31096,0.3109,-6e-05,81.321,81.31,0.01,0.31083,0.3109,7e-05,81.089,81.079,0.01,0.30794,0.30811,0.00017,81.09,81.079,0.011,0.30705,0.30725,0.0002,80.887,80.876,0.011,0.30704,0.30725,0.00021
BmcTimemachine01,BMC Timemachine01,BMC,BMC Timemachine01,TT,1.3,Zwift 32mm Carbon,300.0,84.126,84.17,-0.044,0.275,0.27513,0.00012,84.128,84.17,-0.042,0.27301,0.2732,0.00019,83.812,83.854,-0.042,0.27291,0.2732,0.00029,83.578,83.62,-0.042,0.27011,0.2705,0.00038,83.57,83.62,-0.05,0.26437,0.26494,0.00057,83.525,83.62,-0.095,0.26443,0.26494,0.00051
BridgestoneOVS2021,Bridgestone BridgestoneOVS2021,Bridgestone,Bridgestone Anchor RS9s,STANDARD,0.14,Zwift 32mm Carbon,300.0,81.399,81.39,0.009,0.31396,0.31379,-0.00017,81.416,81.39,0.026,0.31238,0.31226,-0.00012,80.216,80.19,0.026,0.31228,0.31226,-2e-05,79.991,79.965,0.026,0.30942,0.30949,8e-05,79.976,79.965,0.011,0.30893,0.30902,9e-05,79.967,79.965,0.002,0.30901,0.30902,1e-05
CadexTri2022,Cadex CadexTri2022,Cadex,Cadex Tri,TT,0.67,Zwift 32mm Carbon,300.0,84.012,84.08,-0.068,0.26919,0.26933,0.00014,84.008,84.08,-0.072,0.26716,0.26737,0.00021,83.823,83.895,-0.072,0.26706,0.26737,0.00031,83.564,83.636,-0.072,0.26434,0.26475,0.0004,83.454,83.526,-0.072,0.26441,0.26475,0.00034,83.453,83.526,-0.073,0.2587,0.25923,0.00053
CannondaleCaad12,Cannondale CAAD12,Cannondale,Cannondale CAAD12,STANDARD,1.3,Zwift 32mm Carbon,300.0,82.469,82.45,0.019,0.31403,0.31379,-0.00024,82.456,82.45,0.006,0.31003,0.30992,-0.00011,81.856,81.849,0.006,0.30993,0.30992,-0.0,81.62,81.614,0.006,0.30702,0.30711,9e-05,81.619,81.614,0.005,0.30699,0.30711,0.00012,81.617,81.614,0.003,0.30714,0.30711,-2e-05
CannondaleCAAD132023,Cannondale CAAD13,Cannondale,Cannondale CAAD13,STANDARD,1.05,Zwift 32mm Carbon,300.0,81.853,81.85,0.003,0.30064,0.30065,1e-05,81.835,81.85,-0.015,0.29769,0.2978,0.00011,81.265,81.28,-0.015,0.29757,0.2978,0.00023,81.012,81.028,-0.015,0.29479,0.29512,0.00032,81.007,81.028,-0.02,0.29382,0.29418,0.00036,80.988,81.028,-0.039,0.29399,0.29418,0.00019
CannondalePong,Cannondale CannondaleR4000RollerBlade,Cannondale,Cannondale R4000 Roller Blade,CONCEPT,1.13,Cannondale R4000 Roller Blade,300.0,82.631,82.65,-0.019,0.2847,0.28479,9e-05,82.626,82.65,-0.024,0.28175,0.28194,0.00019,82.216,82.24,-0.024,0.28166,0.28194,0.00028,81.959,81.983,-0.024,0.27891,0.27928,0.00037,81.975,81.983,-0.008,0.27796,0.27836,0.0004,81.805,81.813,-0.008,0.27801,0.27836,0.00035
