,,,,,,,,Flat Test Results,,,,,,,,,,,,Climb Test Results,,,,,,,,,,,
Bike,Wheels,Bike Type,Price (Drops),Unlock Level,Rider Height (cm),Rider Weight (kg),Power (W),Stage 0 Avg Speed MPH,Stage 0 - Hour Time Gap,Stage 1 Avg Speed MPH,Stage 1 - Hour Time Gap,Stage 2 Avg Speed MPH,Stage 2 - Hour Time Gap,Stage 3 Avg Speed MPH,Stage 3 - Hour Time Gap,Stage 4 Avg Speed MPH,Stage 4 - Hour Time Gap,Stage 5 Avg Speed MPH,Stage 5 - Hour Time Gap,Stage 0 Avg Speed MPH,Stage 0 - Hour Time Gap,Stage 1 Avg Speed MPH,Stage 1 - Hour Time Gap,Stage 2 Avg Speed MPH,Stage 2 - Hour Time Gap,Stage 3 Avg Speed MPH,Stage 3 - Hour Time Gap,Stage 4 Avg Speed MPH,Stage 4 - Hour Time Gap,Stage 5 Avg Speed MPH,Stage 5 - Hour Time Gap
Allied Able,Zwift Gravel,Gravel,"550,000",23,183,75,150,17.7522,-233.9,,,,,,,,,17.9378,-198.7,4.5815,-153.5,,,,,,,,,4.6297,-117.2
BMC Roadmachine,Zwift 32mm Carbon,Road,"344,100",18,183,75,150,19.0301,8.4,,,,,,,,,19.2161,43.7,4.8126,20.4,,,,,,,,,4.8634,58.6
BMC SLR01,Zwift 32mm Carbon,Road,"759,500",39,183,75,150,19.0343,9.2,,,,,,,,,19.2198,44.4,4.8245,29.3,,,,,,,,,4.8752,67.5
BMC TeamMachine,Zwift 32mm Carbon,Road,"969,200",39,183,75,150,19.2049,41.6,,,,,,,,,19.3941,77.5,4.8349,37.2,,,,,,,,,4.8855,75.2
BMC Timemachine01,Zwift 32mm Carbon,TT,"400,000",7,183,75,150,19.7615,21.1,,,,,,,,,20.0850,75.5,4.6990,17.6,,,,,,,,,4.7323,43.2
Bridgestone Anchor RS9s,Zwift 32mm Carbon,Road,"200,000",10,183,75,150,19.0395,10.2,,,,,,,,,19.1967,40.0,4.8432,43.4,,,,,,,,,4.9277,107.0
Cadex Tri,Zwift 32mm Carbon,TT,"1,500,000",40,183,75,150,19.8961,45.8,,,,,,,,,20.2241,100.9,4.7050,22.2,,,,,,,,,4.7383,47.8
Zwift Handcycle,Zwift Handcycle,Handcycle,0,0,183,75,300,25.4960,133.0,25.6110,149.8,25.6235,151.7,25.7238,166.3,25.7222,166.1,25.7177,165.4,8.1407,-415.2,8.1430,-414.3,8.1923,-395.0,8.2170,-385.4,8.2161,-385.7,8.2163,-385.6
Specialized PROJECT 74,Roval PROJECT 74,Halo,"10,000,000",,183,75,300,25.4363,124.2,25.5246,137.2,25.5319,138.2,25.6158,150.5,25.6433,154.6,25.6424,154.4,9.2017,-0.1,9.2085,2.5,9.2479,18.0,9.2757,28.8,9.2777,29.6,9.2935,35.8
Cannondale CAAD12,Zwift 32mm Carbon,Road,"106,300",6,183,75,150,19.0213,6.8,,,,,,,,,19.2059,41.8,4.7836,-1.4,,,,,,,,,4.8340,36.5
