"","","","","","","","Flat Test Results","","Climb Test Results","","","","","","","","","","","","","","","","",""
"Zwift Carbon","Princeton Carbonworks Alta 3532","685,000","35","183","75","300","24.7705","28.8","9.2381","14.5","","","","","","","","","","","","","","","",""
"Zwift Carbon","Princeton Carbonworks Wake 6560 White","685,000","32","183","75","300","24.8764","44.3","9.2335","12.7","","","","","","","","","","","","","","","",""
"Zwift Carbon","CADEX Max 50","680,000","29","183","75","300","24.7908","31.8","9.2295","11.1","","","","","","","","","","","","","","","",""
"Zwift Carbon","Reserve 34/37","550,000","29","183","75","300","24.7623","27.6","9.2277","10.4","","","","","","","","","","","","","","","",""
"Zwift Carbon","Zipp 353 NSW","600,000","24","183","75","300","24.7745","27.4","9.2270","9.8","","","","","","","","","","","","","","","",""
"Zwift Carbon","Lightweight Meilenstein","","","183","75","300","24.6680","11.8","9.2268","9.7","","","","","","","","","","","","","","","",""
"Zwift Carbon","ENVE SES 4.5 PRO","675,000","29","183","75","300","24.8624","40.2","9.2259","9.4","","","","","","","","","","","","","","","",""
"Zwift Carbon","Roval Alpinist CLX","550,000","38","183","75","300","24.6659","11.4","9.2258","9.3","","","","","","","","","","","","","","","",""
"Zwift Carbon","Zipp 454","600,000","30","183","75","300","24.8199","34.0","9.2236","8.5","","","","","","","","","","","","","","","",""
"Zwift Carbon","Shimano DURA-ACE C36","150,000","6","183","75","300","24.6970","16.0","9.2206","7.3","","","","","","","","","","","","","","","",""
"Zwift Carbon","Miche Deva RD 62","650,000","29","183","75","300","24.8683","43.1","9.2196","7.2","","","","","","","","","","","","","","","",""
"Zwift Carbon","Roval Rapide Sprint CLX","650,000","29","183","75","300","24.8676","43.0","9.2183","6.7","","","","","","","","","","","","","","","",""
"Zwift Carbon","CADEX 42","425,000","17","183","75","300","24.6880","14.7","9.2191","6.7","","","","","","","","","","","","","","","",""
"Zwift Carbon","CADEX 36","375,000","29","183","75","300","24.6234","5.2","9.2184","6.4","","","","","","","","","","","","","","","",""
"Zwift Carbon","Giant SLR 0","450,000","21","183","75","300","24.7296","20.8","9.2179","6.2","","","","","","","","","","","","","","","",""
"Zwift Carbon","Mavic Cosmic Ultimate UST","525,000","18","183","75","300","24.7092","17.8","9.2179","6.2","","","","","","","","","","","","","","","",""
"Zwift Carbon","Swiss Side HADRON Ultimate 650","550,000","28","183","75","300","24.8935","46.8","9.2165","6.0","","","","","","","","","","","","","","","",""
"Zwift Carbon","ENVE SES 3.4","525,000","27","183","75","300","24.7527","24.2","9.2174","6.0","","","","","","","","","","","","","","","",""
"Zwift Carbon","Roval Rapide CLX","500,000","15","183","75","300","24.7732","27.2","9.2156","5.3","","","","","","","","","","","","","","","",""
"Zwift Carbon","Reserve 57/64","550,000","29","183","75","300","24.8595","41.8","9.2140","5.0","","","","","","","","","","","","","","","",""
"Zwift Carbon","Campagnolo Bora Ultra 50","450,000","12","183","75","300","24.7554","24.6","9.2132","4.4","","","","","","","","","","","","","","","",""
"Zwift Carbon","ENVE SES 2.2","400,000","26","183","75","300","24.5884","0.1","9.2132","4.4","","","","","","","","","","","","","","","",""
"Zwift Carbon","ENVE SES 6.7","525,000","22","183","75","300","24.7977","30.7","9.2130","4.3","","","","","","","","","","","","","","","",""
"Zwift Carbon","DT Swiss ARC 1100 DICUT 65","650,000","29","183","75","300","24.8916","44.5","9.2128","4.2","","","","","","","","","","","","","","","",""
"Zwift Carbon","Roval CLX64","525,000","16","183","75","300","24.8192","33.9","9.2119","3.9","","","","","","","","","","","","","","","",""
"Zwift Carbon","Zipp 202","350,000","20","183","75","300","24.6132","3.7","9.2099","3.1","","","","","","","","","","","","","","","",""
"Zwift Carbon","Campagnolo Bora Ultra 35","350,000","35","183","75","300","24.5850","-0.4","9.2097","3.0","","","","","","","","","","","","","","","",""
"Zwift Carbon","Shimano C40","300,000","6","183","75","300","24.6546","9.8","9.2086","2.6","","","","","","","","","","","","","","","",""
"Zwift Carbon","CADEX 65","450,000","33","183","75","300","24.8044","31.7","9.2084","2.5","","","","","","","","","","","","","","","",""
